
2/4/2024 :: 18:13:17

Eid,firstname,lastname,dob,mobile,email,address,gender,doj,manager_id,department_id;
2,darshan,patel,26-08-2003,5567894565,newemail@gmail.com,jsdhgfd fgsd,Male,01-01-2023,2,1;
511,Zeal,shah,12-08-2004,1234567890,test@gmail.com,Ahmedabad,Male,01-06-2024,2,1;

2/4/2024 :: 18:20:51

Eid,firstname,lastname,dob,mobile,email,address,gender,doj,manager_id,department_id;
2,darshan,patel,26-08-2003,5567894565,newemail@gmail.com,jsdhgfd fgsd,Male,01-01-2023,2,1;
511,Zeal,shah,12-08-2004,1234567890,test@gmail.com,Ahmedabad,Male,01-06-2024,2,1;

2/4/2024 :: 18:22:11

Eid,firstname,lastname,dob,mobile,email,address,gender,doj,manager_id,department_id;
2,darshan,patel,26-08-2003,5567894565,newemail@gmail.com,jsdhgfd fgsd,Male,01-01-2023,2,1;
511,Zeal,shah,12-08-2004,1234567890,test@gmail.com,Ahmedabad,Male,01-06-2024,2,1;

2/4/2024 :: 18:29:16

Eid,firstname,lastname,dob,mobile,email,address,gender,doj,manager_id,department_id;
2,darshan,patel,26-08-2003,5567894565,newemail@gmail.com,jsdhgfd fgsd,Male,01-01-2023,2,1;
511,Zeal,shah,12-08-2004,1234567890,test@gmail.com,Ahmedabad,Male,01-06-2024,2,1;
